"","network_size","t","iter.no","Method","MC_Rate","D12","D13","D23"
"42","100","0","6","ASE1","0.46","3.75425836449577","2.77315707066582","4.16259456078154"
"43","100","0","7","AASE","0.04","8.85235179652307","4.01391759773646","8.73256298612959"
"44","100","0","7","OMNI","0.04","9.1511623174072","3.79414210285886","8.91475533735073"
"45","100","0","7","ALS","0.06","9.919450480299","3.72388841649848","8.62009464240638"
"46","100","0","7","JE","0.03","8.93398216625007","4.03991935635263","8.56494817855267"
"47","100","0","7","RASE","0.08","9.46243568137606","3.46703922395909","8.50545695768957"
"48","100","0","7","MASE","0.32","8.92729328869152","2.72027308579064","10.1552165935007"
"49","100","0","7","ASE1","0.3","4.89560380049341","3.14202285874572","11.1143574548798"
"50","100","0","8","AASE","0.03","4.23286014282205","10.3918261462421","8.25783537183777"
"51","100","0","8","OMNI","0.03","4.16806211256454","10.2756719946336","8.10422438492356"
"52","100","0","8","ALS","0.03","3.94884976385783","8.46937846038572","8.86649255049415"
"53","100","0","8","JE","0.03","4.13596628904023","10.3557481936826","8.04879097597795"
"54","100","0","8","RASE","0.03","3.82417796246424","9.99547726458342","8.16204997913449"
"55","100","0","8","MASE","0.22","2.76047919110264","7.88443324597705","6.81974262198884"
"56","100","0","8","ASE1","0.44","3.98148600445031","4.16282862897347","2.73476527211848"
"57","100","0","9","AASE","0.03","5.79115799457842","7.67155458049418","4.20207992932666"
"58","100","0","9","OMNI","0.04","5.8518208756336","7.7267885592098","3.74305867908436"
"59","100","0","9","ALS","0.12","5.99307054239754","8.96884314749963","3.25079812650811"
"60","100","0","9","JE","0.02","5.73826255502714","7.50529775949126","4.14050369868819"
"61","100","0","9","RASE","0.05","5.87461390672765","7.75762050233847","3.76988450316051"
"62","100","0","9","MASE","0.12","4.63352319313202","7.89591544756502","2.91768551591441"
"63","100","0","9","ASE1","0.35","6.16881265549578","4.27035869027951","3.00705916273351"
"64","100","0","10","AASE","0.22","2.87242683234201","8.60031882100043","7.39605350801558"
"65","100","0","10","OMNI","0.2","3.14498617736362","8.4321524879275","7.11256273872892"
"66","100","0","10","ALS","0.11","6.98348926731591","3.29953795813758","7.37871098245312"
"67","100","0","10","JE","0.29","3.45228222196589","6.33657601491477","8.82914977230288"
"68","100","0","10","RASE","0.09","7.81498014465967","3.40743401207889","6.91560907809153"
"69","100","0","10","MASE","0.23","1.98328969202229","7.38928702249513","6.28471808339983"
"70","100","0","10","ASE1","0.63","1.66057188754047","5.08800022845512","2.39741998808004"
"71","100","0","11","AASE","0.02","7.59850056579137","7.01883286587035","4.06884200364325"
"72","100","0","11","OMNI","0.03","7.56635451614026","7.18679416688907","3.81755780533849"
"73","100","0","11","ALS","0.03","7.49553353344536","7.12108089809714","3.68383466652337"
"74","100","0","11","JE","0.34","3.76010875131685","2.68246661731092","3.36437593200047"
"75","100","0","11","RASE","0.28","2.4402104951018","6.07392393474683","7.564227625083"
"76","100","0","11","MASE","0.26","5.57029003144318","6.57864756739534","1.8674260493723"
"77","100","0","11","ASE1","0.43","3.98903071553287","5.2101562119204","4.21548679504357"
"78","100","0","12","AASE","0.02","3.81408350121255","8.1307233389352","7.88678911226536"
"79","100","0","12","OMNI","0.02","3.92455184412718","8.01115355460293","7.83521213291559"
"80","100","0","12","ALS","0.01","3.92324257091991","7.62670695244145","7.85831981558393"
"81","100","0","12","JE","0.07","3.6104602190914","7.975525251731","8.00862278927015"
"82","100","0","12","RASE","0.07","3.3622905796909","8.15028146421052","8.00739637270913"
"83","100","0","12","MASE","0.14","3.79232751926399","6.16202304988","8.02056769393216"
"84","100","0","12","ASE1","0.27","3.66910405924878","2.14976058675974","4.77481190972729"
"85","100","0","13","AASE","0.06","8.15309578844831","3.67191083205774","8.3697350859789"
"86","100","0","13","OMNI","0.04","9.10548058504485","3.6028655119939","7.48014403525507"
"87","100","0","13","ALS","0.06","7.98232359869217","3.50362195707258","7.89083993020637"
"88","100","0","13","JE","0.06","8.12998521003837","3.75227726353111","8.33086552487924"
"89","100","0","13","RASE","0.07","7.94778568699433","2.90758591431279","8.12761420043721"
"90","100","0","13","MASE","0.1","8.12049684411559","2.89411056829303","6.77473841197301"
"91","100","0","13","ASE1","0.25","4.12110218813613","3.1111693852858","4.23806338580424"
"92","100","0","14","AASE","0.04","7.03904296591706","7.87607631651853","3.61771915922188"
"93","100","0","14","OMNI","0.05","7.08736638453116","7.84907484714995","3.45848814292105"
"94","100","0","14","ALS","0.1","7.22196356383801","7.32262963390713","3.12795566486033"
"95","100","0","14","JE","0.06","7.05325713639186","8.07024320422977","3.70862779216586"
"96","100","0","14","RASE","0.05","7.35096165167584","7.12741850982013","3.61671877294418"
"97","100","0","14","MASE","0.14","6.54648298467635","8.07164275785511","3.37631559715666"
"98","100","0","14","ASE1","0.2","5.27289775515324","3.97607424862616","3.21647282617702"
"99","100","0","15","AASE","0.02","8.95063425739022","8.52905343823694","4.49372945122958"
"100","100","0","15","OMNI","0.02","8.90032244346997","8.14619977553611","4.38211769480024"
"101","100","0","15","ALS","0.02","8.7870479107552","7.93025925307473","4.31038516960261"
"102","100","0","15","JE","0.02","9.02608839616689","8.25911365648178","4.42646063324262"
"103","100","0","15","RASE","0.03","7.95968793089909","8.48510009459504","4.02758125733699"
"104","100","0","15","MASE","0.07","5.84303451399701","7.55132866981317","3.2824442685657"
"105","100","0","15","ASE1","0.19","4.72847244088145","3.86552924924898","3.06959757384264"
"106","100","0","16","AASE","0.13","7.41293255414282","2.98006537814087","9.40338137435193"
"107","100","0","16","OMNI","0.03","6.85110497520649","3.74696109238946","9.13323773405329"
"108","100","0","16","ALS","0.04","6.92569811973631","3.74989815407044","9.07247863432762"
"109","100","0","16","JE","0.03","6.88990709641639","4.05249569758263","9.19542979565681"
"110","100","0","16","RASE","0.04","6.41340731253096","3.81888230915056","8.98541174879749"
"111","100","0","16","MASE","0.18","6.17278769417054","3.34770830508317","7.00566426897938"
"112","100","0","16","ASE1","0.38","3.04343692237163","3.58084509732495","3.61673205510051"
"113","100","0","17","AASE","0.02","4.38561895787166","8.12568438266122","6.65495531514847"
"114","100","0","17","OMNI","0.03","4.37881374687198","8.22291580341816","6.5956479669035"
"115","100","0","17","ALS","0.03","4.41668720856684","8.02489137470708","6.54405974973686"
"116","100","0","17","JE","0.03","4.52587591047587","8.23714838119773","6.70912220687494"
"117","100","0","17","RASE","0.06","3.79238398731344","8.09842762788953","6.6596877601035"
"118","100","0","17","MASE","0.09","4.14245500267428","7.33952469399212","5.86897280042868"
"119","100","0","17","ASE1","0.28","2.73890489053729","5.06295485278817","4.16071274749525"
"120","100","0","18","AASE","0.03","3.93424440904938","6.27404415397034","6.57683591830298"
"121","100","0","18","OMNI","0.05","3.71350787448676","5.90241326296033","6.76661435742232"
"122","100","0","18","ALS","0.04","3.70949294441952","6.11133428306227","6.38488298423199"
"123","100","0","18","JE","0.03","3.99186244682411","6.08931759358992","6.45491268549892"
"124","100","0","18","RASE","0.22","2.4123651851799","5.72026119596869","7.28844873097024"
"125","100","0","18","MASE","0.15","2.51169931787908","4.76775989686845","7.14822333652993"
"126","100","0","18","ASE1","0.45","3.17335627110368","4.67744827007311","3.34713587538678"
"127","100","0","19","AASE","0.02","4.54911753705435","7.0336801626428","8.14509333090318"
"128","100","0","19","OMNI","0.02","4.59340586089482","7.20815199957314","8.33875519162209"
"129","100","0","19","ALS","0.01","4.6728026468401","7.2698095870231","8.55135618508248"
"130","100","0","19","JE","0.01","4.42320061194989","7.04533442684893","8.08682940243815"
"131","100","0","19","RASE","0.06","6.99046835970117","7.85602333197453","3.18002375414065"
"132","100","0","19","MASE","0.32","2.00860675461708","8.98413939218482","2.70049852162791"
"133","100","0","19","ASE1","0.31","2.52618029891425","3.84422000208614","4.18420485398328"
"134","100","0","20","AASE","0.32","7.13435328443664","2.75446715948458","4.95967552596355"
"135","100","0","20","OMNI","0.25","6.73189398111623","2.53470953337581","7.32967918946631"
"136","100","0","20","ALS","0.05","6.42913418913439","3.14711478604873","6.65562721728935"
"137","100","0","20","JE","0.18","6.87565056400133","2.26571021253891","7.80671974450798"
"138","100","0","20","RASE","0.07","5.81543864200825","3.31737038319456","7.32848874258689"
"139","100","0","20","MASE","0.26","5.49860948034178","1.45911937863826","6.68411949716711"
"140","100","0","20","ASE1","0.37","2.82710474479845","3.62116218346536","1.92647937674323"
"141","100","0","21","AASE","0.09","7.9762790593834","8.31943579773455","3.31126338561392"
"142","100","0","21","OMNI","0.12","8.03543916059978","7.98918984910326","3.28818480677021"
"143","100","0","21","ALS","0.07","8.08445019428114","7.74710906449877","3.01816726560973"
"144","100","0","21","JE","0.15","8.20151843820463","8.07388605812852","3.37789267102"
"145","100","0","21","RASE","0.21","8.10377334455396","7.04863448072317","2.44103059137779"
"146","100","0","21","MASE","0.23","6.91863248720513","8.73272675878645","2.56498755164939"
"147","100","0","21","ASE1","0.36","4.22060032760489","4.31080211202011","2.82860801292358"
"148","100","0","22","AASE","0.01","4.86549873996572","7.99301104887362","7.5836604315419"
"149","100","0","22","OMNI","0.02","4.87931341522132","7.75230633876126","7.50337540741787"
"150","100","0","22","ALS","0.02","4.74084872328839","7.64136725499848","7.40051412250679"
"151","100","0","22","JE","0.01","4.93887805515861","7.56636615010948","8.00925461395302"
"152","100","0","22","RASE","0.02","4.53624406735595","7.86232998911088","7.55658935153254"
"153","100","0","22","MASE","0.11","3.6499924886233","5.38884852235858","6.77088825651337"
"154","100","0","22","ASE1","0.35","2.04712897632914","4.46767005707328","3.60646641859783"
"155","100","0","23","AASE","0.04","8.66088678102501","8.76743514422485","4.33362002933441"
"156","100","0","23","OMNI","0.05","8.18014255927024","9.18838335556378","4.14213937453414"
"157","100","0","23","ALS","0.05","8.02524930774275","9.15631390774782","4.12958704757278"
"158","100","0","23","JE","0.04","8.54543802268949","8.80231195975281","4.11464793503165"
"159","100","0","23","RASE","0.1","7.91362042319543","8.7813647285557","3.29886888406935"
"160","100","0","23","MASE","0.22","6.81195812145849","3.35845482022669","8.17047258053603"
"161","100","0","23","ASE1","0.3","4.45462464123092","6.77842156115805","3.44668784633809"
"162","100","0","24","AASE","0.05","7.84159242175961","6.71917380489913","3.67638694562615"
"163","100","0","24","OMNI","0.05","7.88629400365892","6.71336181367597","3.53192282436884"
"164","100","0","24","ALS","0.09","6.72239621649294","8.29271882093305","2.98976864810912"
"165","100","0","24","JE","0.24","6.87192446716182","3.42512554330007","7.09232047196796"
"166","100","0","24","RASE","0.21","6.99375231135483","6.63089833098883","3.37882432304213"
"167","100","0","24","MASE","0.18","6.37933063911442","6.77056836476316","3.04848977387092"
"168","100","0","24","ASE1","0.28","4.9131988106796","4.48442386239395","2.09580047053328"
"169","100","0","25","AASE","0.04","3.93931306417202","7.68118870212222","8.22351725559628"
"170","100","0","25","OMNI","0.05","3.58245376707049","7.83943381762238","7.94911759655288"
"171","100","0","25","ALS","0.05","3.9753925015739","7.20128325674799","8.16790692992542"
"172","100","0","25","JE","0.05","3.53102513478104","8.03615633233857","7.80998050480237"
"173","100","0","25","RASE","0.19","3.53878871658078","9.08170249710973","7.86596366614439"
"174","100","0","25","MASE","0.19","2.34445362051876","6.68889399292481","7.32815490153587"
"175","100","0","25","ASE1","0.39","4.63207655952308","2.61314889127443","2.564988465216"
"176","100","0","26","AASE","0","5.13368995297974","8.09159007537457","6.31674295589841"
"177","100","0","26","OMNI","0","4.91713473285237","8.10214112522409","6.24887762853669"
"178","100","0","26","ALS","0.02","4.77348484890146","6.94392260073665","5.31005215100256"
"179","100","0","26","JE","0","4.85736504899472","7.99757457360559","6.30928469574973"
"180","100","0","26","RASE","0.01","4.522427799968","7.65553103834187","5.9111461930673"
"181","100","0","26","MASE","0.13","3.36929823592117","7.12429184047642","4.59831231266771"
"182","100","0","26","ASE1","0.35","3.33603709800019","3.02946119905738","5.24236720404347"
"183","100","0","27","AASE","0.06","8.85524071465907","8.44315998217325","2.94665524334701"
"184","100","0","27","OMNI","0.07","8.46799099803068","7.99003932860138","3.59418412421644"
"185","100","0","27","ALS","0.08","8.40351395315096","7.94830218966557","3.37739161961021"
"186","100","0","27","JE","0.11","8.55668485145213","8.02070912680851","3.24781702201198"
"187","100","0","27","RASE","0.2","6.99969304574589","8.29575608101754","3.19391264891873"
"188","100","0","27","MASE","0.21","6.25427948029149","7.69140562526549","2.39648347567582"
"189","100","0","27","ASE1","0.38","4.70764329466193","2.69282531357961","2.96164764152184"
"190","100","0","28","AASE","0.02","9.33040312759018","7.86452135058383","4.21500783620097"
"191","100","0","28","OMNI","0.03","9.3816189784093","7.90682010310605","4.08712659363751"
"192","100","0","28","ALS","0.03","9.24518050327224","7.76580502606155","3.96409103074132"
"193","100","0","28","JE","0.02","9.47099053055554","7.77282129698997","4.11273806619796"
"194","100","0","28","RASE","0.06","9.08775734421902","7.744979021052","3.27046480776849"
"195","100","0","28","MASE","0.08","7.89587805502647","7.47145187935838","3.53900919913518"
"196","100","0","28","ASE1","0.28","3.00358436333781","4.10895824355872","2.90429947057827"
"197","100","0","29","AASE","0.06","7.542263100896","3.65836708975796","8.00757239862949"
"198","100","0","29","OMNI","0.06","7.89924829915234","4.1747114528348","7.79061091687985"
"199","100","0","29","ALS","0.05","7.80732627984319","4.08019852356419","7.87144104962153"
"200","100","0","29","JE","0.04","7.90637460244244","3.71231748392491","7.95824312414291"
"201","100","0","29","RASE","0.43","7.96102503784978","9.54110089389735","2.32689656184498"
"202","100","0","29","MASE","0.33","10.5637532424537","3.38532630395961","7.95809478326693"
"203","100","0","29","ASE1","0.42","2.77044142047193","3.11654788690229","4.76122636980929"
"204","100","0","30","AASE","0.04","7.74548637904935","7.27551264858783","4.20207539195031"
"205","100","0","30","OMNI","0.04","7.81482824664872","7.28104006260554","4.13901812158013"
"206","100","0","30","ALS","0.02","7.95736486498587","7.05737621055299","4.3228422940006"
"207","100","0","30","JE","0.04","7.57238605732622","7.35782536330916","4.18690899159038"
"208","100","0","30","RASE","0.02","6.92971465022302","6.95664348071343","4.02144125717283"
"209","100","0","30","MASE","0.2","6.76478640425279","6.0153819882733","2.15315180248301"
"210","100","0","30","ASE1","0.36","3.11187489628088","3.55168768995572","3.82815866616372"
"211","100","0","31","AASE","0.04","7.33378831460722","7.81978741434899","3.48858296944362"
"212","100","0","31","OMNI","0.03","7.74931302368203","7.35858027681035","3.51940852388099"
"213","100","0","31","ALS","0.03","7.24986996527936","7.68097047282637","3.44631109709606"
"214","100","0","31","JE","0.04","7.21533740476714","7.66572257132746","3.64328313009666"
"215","100","0","31","RASE","0.15","7.68840301585569","7.92586305670659","2.30659475007918"
"216","100","0","31","MASE","0.07","6.82586454410895","6.70085293999038","3.57735841916614"
"217","100","0","31","ASE1","0.24","3.85767717924416","3.31696926938973","1.99682464423771"
"218","100","0","32","AASE","0.05","7.14634000280236","6.16471253375587","4.40602418647983"
"219","100","0","32","OMNI","0.04","8.30298823087333","6.74586788322948","4.41323384703814"
"220","100","0","32","ALS","0.04","8.10346038672253","6.60944442587221","4.24570441683248"
"221","100","0","32","JE","0.05","8.78410131801613","6.94713126984742","4.44721752140263"
"222","100","0","32","RASE","0.31","7.37201029506759","7.85552956806524","2.92274584360065"
"223","100","0","32","MASE","0.21","6.42792385389987","6.12000194667474","3.4210343089772"
"224","100","0","32","ASE1","0.2","3.80787150902936","3.7733697665686","2.64984015539267"
"225","100","0","33","AASE","0.04","4.02078111669747","7.42633167429458","8.87670501604132"
"226","100","0","33","OMNI","0.04","3.84694056454227","7.53340977202929","8.76100216819579"
"227","100","0","33","ALS","0.06","3.38445663830581","8.59550675434551","7.4939757349327"
"228","100","0","33","JE","0.37","10.6044932499383","7.76134639303781","2.18647295029706"
"229","100","0","33","RASE","0.36","8.74302169022279","8.27669239506635","1.46521481282646"
"230","100","0","33","MASE","0.24","3.65010152626906","6.87226378112662","8.66952119051358"
"231","100","0","33","ASE1","0.19","2.94560744466749","3.50504642995617","3.49914363007862"
"232","100","0","34","AASE","0.09","9.21936451871407","3.67947116395456","8.08586786348632"
"233","100","0","34","OMNI","0.07","8.68036978382845","3.77319781373788","8.54569022360516"
"234","100","0","34","ALS","0.08","8.72389631568625","3.79977488242023","8.42388855477285"
"235","100","0","34","JE","0.07","8.37080218234611","3.55678163854067","8.90642659596711"
"236","100","0","34","RASE","0.06","8.65296934216491","3.12196733449352","8.32244865791982"
"237","100","0","34","MASE","0.16","8.23937217772537","3.36983654968074","8.07710465398973"
"238","100","0","34","ASE1","0.38","3.54866595652255","3.1676738124699","6.19557709414108"
"239","100","0","35","AASE","0.07","3.97545897976975","9.45551608690793","8.00052490077677"
"240","100","0","35","OMNI","0.08","3.93422671030492","8.35604262477289","8.23265562039498"
"241","100","0","35","ALS","0.08","3.92333107034726","8.19807745740781","8.23246267048881"
"242","100","0","35","JE","0.28","2.56155899191795","8.52089364453599","8.87493879738206"
"243","100","0","35","RASE","0.28","3.03153945445531","7.90867147585784","8.59292839394046"
"244","100","0","35","MASE","0.2","2.251080652446","7.22246393910277","6.55604630315018"
"245","100","0","35","ASE1","0.42","4.00638680678978","2.52403948864479","5.15014587885995"
"246","100","0","36","AASE","0.05","6.78602070780886","3.31768050615649","6.79252692339064"
"247","100","0","36","OMNI","0.04","6.87674958541901","3.38301886837832","6.72259731405317"
"248","100","0","36","ALS","0.03","6.63671940900837","3.50785623581252","6.64453118894525"
"249","100","0","36","JE","0.05","6.61891907784572","3.34913128939487","6.59073848871309"
"250","100","0","36","RASE","0.15","7.42139921412158","6.76698213399631","2.91879872826924"
"251","100","0","36","MASE","0.16","7.10741321683619","2.90322683619405","6.0851919667212"
"252","100","0","36","ASE1","0.31","3.08804396121334","1.7277605711331","2.63891871851008"
"253","100","0","37","AASE","0.01","8.35865825553699","8.46944488965044","3.75423063171516"
"254","100","0","37","OMNI","0.01","8.39274040445538","8.53288659536812","3.85404723739908"
"255","100","0","37","ALS","0.11","8.65609806064384","8.28456553339632","3.05929308923827"
"256","100","0","37","JE","0.02","8.33745232663933","8.53783642961343","3.78908837044176"
"257","100","0","37","RASE","0.03","8.05956235909968","8.80694236423171","3.40144685176401"
"258","100","0","37","MASE","0.41","8.60766571661862","3.32303095284479","8.0681874678874"
"259","100","0","37","ASE1","0.49","4.48983867930047","2.91558988551996","5.1759071189702"
"260","100","0","38","AASE","0.04","6.95277587051141","6.97812536624558","3.90142394170306"
"261","100","0","38","OMNI","0.05","7.0335633711115","7.08472517961001","3.72052600290067"
"262","100","0","38","ALS","0.05","6.99139777038884","7.20240916293323","3.67474607156053"
"263","100","0","38","JE","0.05","6.93154064208978","7.09764307167967","3.68682059026911"
"264","100","0","38","RASE","0.08","7.1430815508961","6.33288307976278","3.05487790784298"
"265","100","0","38","MASE","0.2","5.88703692361007","6.40174607660316","2.98266529371669"
"266","100","0","38","ASE1","0.36","3.4757801806519","2.01562929266439","3.2312461724642"
"267","100","0","39","AASE","0.08","8.87423958458803","3.1889186527904","7.45883744203187"
"268","100","0","39","OMNI","0.08","8.91669021179968","3.15135452014042","7.61490326363241"
"269","100","0","39","ALS","0.06","8.75979221668206","3.61527258222421","7.59152723795638"
"270","100","0","39","JE","0.08","8.99085145865097","3.18955327567501","7.55986405640336"
"271","100","0","39","RASE","0.28","12.6727786900205","2.42315434917056","7.41402879181387"
"272","100","0","39","MASE","0.19","7.67588073634078","2.74242780294167","6.8133803678553"
"273","100","0","39","ASE1","0.44","3.99289690373744","3.85434215172344","4.28948644636404"
"274","100","0","40","AASE","0.18","9.42087778984288","2.0340056002871","8.12179456699294"
"275","100","0","40","OMNI","0.16","9.27852738346255","2.39778481930174","8.0765804308017"
"276","100","0","40","ALS","0.17","8.92502050643796","2.1820485152393","8.04695122394187"
"277","100","0","40","JE","0.18","9.40386785489189","1.98098693249805","8.09020103835476"
"278","100","0","40","RASE","0.19","8.95026597560233","2.70919780124882","8.63447790606842"
"279","100","0","40","MASE","0.25","9.74444048055936","1.34561562195469","7.62905960831916"
"280","100","0","40","ASE1","0.39","3.30800695628326","3.66452292191281","7.90701683700327"
"281","100","0","41","AASE","0.15","7.65831550135508","2.67661531596713","9.0597781289818"
"282","100","0","41","OMNI","0.16","2.67954958139694","7.65705741156298","8.96823637711896"
"283","100","0","41","ALS","0.06","4.36692935403318","8.02146577074194","7.67984088663825"
"284","100","0","41","JE","0.09","8.05504095197836","3.27897066178862","7.83329031268257"
"285","100","0","41","RASE","0.04","4.29874357528984","8.22645982846142","7.98233422693813"
"286","100","0","41","MASE","0.18","2.3026239465024","6.88449624662902","8.8533987343213"
"287","100","0","41","ASE1","0.39","3.20464216021496","3.45306550414094","2.35136300651462"
"288","100","0","42","AASE","0.01","8.37866269738899","4.1142156684319","7.80651965130583"
"289","100","0","42","OMNI","0.02","7.50572230841423","3.98273268405597","8.25836602009623"
"290","100","0","42","ALS","0.02","7.44680464236117","3.95942705103793","8.17478191551647"
"291","100","0","42","JE","0.01","7.61896055491306","4.1546260159323","8.14240713672775"
"292","100","0","42","RASE","0.15","7.40346258556138","3.88533108911541","8.17373330620469"
"293","100","0","42","MASE","0.24","6.88167847640158","2.82322218247493","6.53948102858236"
"294","100","0","42","ASE1","0.34","5.3465272263489","3.1900003190557","3.9220531887466"
"295","100","0","43","AASE","0.01","4.21044801118439","10.4633874713081","9.4065966050127"
"296","100","0","43","OMNI","0.01","4.01772902130246","10.4148584666639","9.08772353337881"
"297","100","0","43","ALS","0.02","3.98276598082754","10.2822884937627","8.84532188231467"
"298","100","0","43","JE","0.07","3.16506272915958","10.8344047850777","9.1597094299326"
"299","100","0","43","RASE","0.27","9.45186513260374","2.15136437858939","8.64785052826267"
"300","100","0","43","MASE","0.3","8.69324483577527","3.29974929863213","7.48036729199506"
"301","100","0","43","ASE1","0.32","2.98676148706093","4.17425024282466","4.32811865034238"
"302","100","0","44","AASE","0.04","6.53540170008353","7.40812526526608","4.38562248725935"
"303","100","0","44","OMNI","0.06","6.1155090799556","8.29141952988995","4.3135843048061"
"304","100","0","44","ALS","0.06","5.94735861165243","8.07018767413649","4.27868573777672"
"305","100","0","44","JE","0.06","6.04885946843754","7.94549303402459","4.11262569919143"
"306","100","0","44","RASE","0.04","6.45275769147364","6.99496975532657","4.24110350599841"
"307","100","0","44","MASE","0.23","9.60119504225815","4.64530101746787","2.90606823625595"
"308","100","0","44","ASE1","0.35","2.00966921311741","7.82339280067858","2.86626997369514"
"309","100","0","45","AASE","0.02","8.33499706768194","6.96517649540888","4.60725549545054"
"310","100","0","45","OMNI","0.02","8.70805069126785","6.93866911317263","4.58182102245053"
"311","100","0","45","ALS","0.02","8.7484501431317","6.89919237105198","4.51482007898372"
"312","100","0","45","JE","0.02","8.58879731865634","6.93569216212241","4.3137500726922"
"313","100","0","45","RASE","0.04","8.31588935401114","6.86236602760056","4.52984930677991"
"314","100","0","45","MASE","0.2","6.54846715097195","8.44945753052179","1.84335707482315"
"315","100","0","45","ASE1","0.36","5.66375823372725","2.67322540867051","1.52463532864032"
"316","100","0","46","AASE","0.02","8.10806206976447","8.04155751656898","4.42938103952207"
"317","100","0","46","OMNI","0.03","8.18778586428603","7.94793755743221","4.39520258639087"
"318","100","0","46","ALS","0.03","8.12563280620606","7.97076677713071","4.37970460095762"
"319","100","0","46","JE","0.02","8.14691351253033","8.12003738418597","4.45952143491373"
"320","100","0","46","RASE","0.06","8.34435181326565","7.4795852889604","3.98439901996279"
"321","100","0","46","MASE","0.12","7.90493408231974","7.2657443270419","3.33317913483271"
"322","100","0","46","ASE1","0.16","5.53518821611209","4.56471447682338","3.63335828666805"
"323","100","0","47","AASE","0.14","8.17259446341256","7.77650437253496","2.20543911802463"
"324","100","0","47","OMNI","0.12","7.58837670495711","7.07172025545886","2.98212532672953"
"325","100","0","47","ALS","0.12","7.02762421086496","7.6279374887517","2.97120105518622"
"326","100","0","47","JE","0.25","6.98109761504568","7.39316076493404","2.5318155951493"
"327","100","0","47","RASE","0.36","2.15308705328062","6.68987093952106","8.39115437110887"
"328","100","0","47","MASE","0.28","7.03511944769356","6.78788151171709","3.22377960487146"
"329","100","0","47","ASE1","0.4","4.5653779693579","3.6748854470603","2.96356248060984"
"330","100","0","48","AASE","0","4.18347649097744","8.24603508256729","7.66582013265181"
"331","100","0","48","OMNI","0","4.08434712763498","7.95330683216881","7.83596814584746"
