"","graph","community","t","Method","MSE"
"89","Graph 1","Community 1",0.2,"Omni",0.00405483814005567
"90","Graph 1","Community 2",0.2,"Omni",0.00405483814005567
"91","Graph 2","Community 1",0.2,"Omni",0.00457334182145698
"92","Graph 2","Community 2",0.2,"Omni",0.00457334182145698
"93","Graph 1","Community 1",0.3,"Omni",0.00490822330906645
"94","Graph 1","Community 2",0.3,"Omni",0.00490822330906645
"95","Graph 2","Community 1",0.3,"Omni",0.0058474772234993
"96","Graph 2","Community 2",0.3,"Omni",0.0058474772234993
"97","Graph 1","Community 1",0.4,"Omni",0.00602835226256252
"98","Graph 1","Community 2",0.4,"Omni",0.00602835226256252
"99","Graph 2","Community 1",0.4,"Omni",0.00781572047023415
"100","Graph 2","Community 2",0.4,"Omni",0.00781572047023415
"101","Graph 1","Community 1",0.5,"Omni",0.00737085538260227
"102","Graph 1","Community 2",0.5,"Omni",0.00737085538260227
"103","Graph 2","Community 1",0.5,"Omni",0.0108726178895109
"104","Graph 2","Community 2",0.5,"Omni",0.0108726178895109
"105","Graph 1","Community 1",0.6,"Omni",0.00888103678184864
"106","Graph 1","Community 2",0.6,"Omni",0.00888103678184864
"107","Graph 2","Community 1",0.6,"Omni",0.0156506110268947
"108","Graph 2","Community 2",0.6,"Omni",0.0156506110268947
"109","Graph 1","Community 1",0.7,"Omni",0.0104990195764873
"110","Graph 1","Community 2",0.7,"Omni",0.0104990195764873
"111","Graph 2","Community 1",0.7,"Omni",0.0232093166118098
"112","Graph 2","Community 2",0.7,"Omni",0.0232093166118098
"113","Graph 1","Community 1",0.8,"Omni",0.0121686944689362
"114","Graph 1","Community 2",0.8,"Omni",0.0121686944689362
"115","Graph 2","Community 1",0.8,"Omni",0.0355416331535409
"116","Graph 2","Community 2",0.8,"Omni",0.0355416331535409
"117","Graph 1","Community 1",0.9,"Omni",0.0138490771161046
"118","Graph 1","Community 2",0.9,"Omni",0.0138490771161046
"119","Graph 2","Community 1",0.9,"Omni",0.0575400863638566
"120","Graph 2","Community 2",0.9,"Omni",0.0575400863638566
"121","Graph 1","Community 1",0,"Omnibar",0.00587500000000011
"122","Graph 1","Community 2",0,"Omnibar",0.00587500000000011
"123","Graph 2","Community 1",0,"Omnibar",0.00587500000000011
"124","Graph 2","Community 2",0,"Omnibar",0.00587500000000011
"125","Graph 1","Community 1",0.1,"Omnibar",0.018721063858235
"126","Graph 1","Community 2",0.1,"Omnibar",0.018721063858235
"127","Graph 2","Community 1",0.1,"Omnibar",0.0186893915653106
"128","Graph 2","Community 2",0.1,"Omnibar",0.0186893915653106
"129","Graph 1","Community 1",0.2,"Omnibar",0.0315327282171327
"130","Graph 1","Community 2",0.2,"Omnibar",0.0315327282171327
"131","Graph 2","Community 1",0.2,"Omnibar",0.0315318943913895
"132","Graph 2","Community 2",0.2,"Omnibar",0.0315318943913895
"133","Graph 1","Community 1",0.3,"Omnibar",0.0443314136090419
"134","Graph 1","Community 2",0.3,"Omnibar",0.0443314136090419
"135","Graph 2","Community 1",0.3,"Omnibar",0.0446310197182243
"136","Graph 2","Community 2",0.3,"Omnibar",0.0446310197182243
"137","Graph 1","Community 1",0.4,"Omnibar",0.0571332438484647
"138","Graph 1","Community 2",0.4,"Omnibar",0.0571332438484647
"139","Graph 2","Community 1",0.4,"Omnibar",0.0582619678995567
"140","Graph 2","Community 2",0.4,"Omnibar",0.0582619678995567
"141","Graph 1","Community 1",0.5,"Omnibar",0.0699460761091857
"142","Graph 1","Community 2",0.5,"Omnibar",0.0699460761091857
"143","Graph 2","Community 1",0.5,"Omnibar",0.0727940740351882
"144","Graph 2","Community 2",0.5,"Omnibar",0.0727940740351882
"145","Graph 1","Community 1",0.6,"Omnibar",0.0827657560637707
"146","Graph 1","Community 2",0.6,"Omnibar",0.0827657560637707
"147","Graph 2","Community 1",0.6,"Omnibar",0.0887772012073754
"148","Graph 2","Community 2",0.6,"Omnibar",0.0887772012073754
"149","Graph 1","Community 1",0.7,"Omnibar",0.0955719189918496
"150","Graph 1","Community 2",0.7,"Omnibar",0.0955719189918496
"151","Graph 2","Community 1",0.7,"Omnibar",0.107125989816833
"152","Graph 2","Community 2",0.7,"Omnibar",0.107125989816833
"153","Graph 1","Community 1",0.8,"Omnibar",0.108324314076072
"154","Graph 1","Community 2",0.8,"Omnibar",0.108324314076072
"155","Graph 2","Community 1",0.8,"Omnibar",0.129607116118972
"156","Graph 2","Community 2",0.8,"Omnibar",0.129607116118972
"157","Graph 1","Community 1",0.9,"Omnibar",0.120961284690163
"158","Graph 1","Community 2",0.9,"Omnibar",0.120961284690163
"159","Graph 2","Community 1",0.9,"Omnibar",0.160719351451846
"160","Graph 2","Community 2",0.9,"Omnibar",0.160719351451846
