"","net_size","t","community","graph","Method","mse_se","average_mse"
"62",250,0.3,"Community 2","Graph 2","ASE",1.35275487608789e-05,0.0126267827500989
"63",250,0.3,"Community 2","Graph 2","Omni",6.00469160184008e-06,0.00632806891040447
"64",250,0.3,"Community 2","Graph 2","Omnibar",4.56939080046705e-06,0.00601554914978972
"65",250,0.4,"Community 1","Graph 1","Abar",6.09275445312051e-06,0.00797025941541542
"66",250,0.4,"Community 1","Graph 1","ASE",9.35861456304794e-06,0.00832344752468045
"67",250,0.4,"Community 1","Graph 1","Omni",6.40091170270214e-06,0.00565198427114049
"68",250,0.4,"Community 1","Graph 1","Omnibar",5.86375566076654e-06,0.00757259371762978
"69",250,0.4,"Community 1","Graph 2","Abar",5.61670517450911e-06,0.00749235455680822
"70",250,0.4,"Community 1","Graph 2","ASE",1.87415209486127e-05,0.0156428321708919
"71",250,0.4,"Community 1","Graph 2","Omni",7.13508207976858e-06,0.00696023150988505
"72",250,0.4,"Community 1","Graph 2","Omnibar",5.54986300961635e-06,0.00761378300174549
"73",250,0.4,"Community 2","Graph 1","Abar",5.45011621422732e-06,0.00733941111896778
"74",250,0.4,"Community 2","Graph 1","ASE",8.13990086199005e-06,0.00787531406488954
"75",250,0.4,"Community 2","Graph 1","Omni",5.65438296685077e-06,0.00541132250780534
"76",250,0.4,"Community 2","Graph 1","Omnibar",5.34092529808629e-06,0.00743351547011186
"77",250,0.4,"Community 2","Graph 2","Abar",5.03380632316895e-06,0.0078078077037115
"78",250,0.4,"Community 2","Graph 2","ASE",1.77493085151674e-05,0.0155262592808707
"79",250,0.4,"Community 2","Graph 2","Omni",6.53055308145447e-06,0.00683335053911328
"80",250,0.4,"Community 2","Graph 2","Omnibar",4.94262729255119e-06,0.0074602904706982
"81",250,0.5,"Community 1","Graph 1","Abar",6.63518783268477e-06,0.00960140648118017
"82",250,0.5,"Community 1","Graph 1","ASE",8.92426904031595e-06,0.00816038655235831
"83",250,0.5,"Community 1","Graph 1","Omni",6.41633804278539e-06,0.00575807776071543
"84",250,0.5,"Community 1","Graph 1","Omnibar",6.27689946041514e-06,0.00918168285263103
"85",250,0.5,"Community 1","Graph 2","Abar",6.00442506751903e-06,0.0095091837935907
"86",250,0.5,"Community 1","Graph 2","ASE",2.61830007708771e-05,0.0201382010073069
"87",250,0.5,"Community 1","Graph 2","Omni",7.33826579354935e-06,0.00738831918026881
"88",250,0.5,"Community 1","Graph 2","Omnibar",5.86737992885688e-06,0.00944790521334176
"89",250,0.5,"Community 2","Graph 1","Abar",6.47148744832372e-06,0.00931201097833087
"90",250,0.5,"Community 2","Graph 1","ASE",8.47325315300625e-06,0.00801523820348239
"91",250,0.5,"Community 2","Graph 1","Omni",6.1439558028325e-06,0.00568727679523114
"92",250,0.5,"Community 2","Graph 1","Omnibar",6.16595397485538e-06,0.00915204141150959
"93",250,0.5,"Community 2","Graph 2","Abar",5.7734205219321e-06,0.00972206121938812
"94",250,0.5,"Community 2","Graph 2","ASE",2.62096735780278e-05,0.0201732178385236
"95",250,0.5,"Community 2","Graph 2","Omni",7.26443555914574e-06,0.00736674468876471
"96",250,0.5,"Community 2","Graph 2","Omnibar",5.62328895702645e-06,0.00940346257324745
"97",250,0.6,"Community 1","Graph 1","Abar",7.38406778088292e-06,0.0114623115659981
"98",250,0.6,"Community 1","Graph 1","ASE",8.53162655622647e-06,0.00798805267167958
"99",250,0.6,"Community 1","Graph 1","Omni",6.49856454180903e-06,0.00587820970387648
"100",250,0.6,"Community 1","Graph 1","Omnibar",6.82838146462775e-06,0.011127314915627
"101",250,0.6,"Community 1","Graph 2","Abar",6.5241071465898e-06,0.0124076091378587
"102",250,0.6,"Community 1","Graph 2","ASE",5.3302061160922e-05,0.0293554178677237
"103",250,0.6,"Community 1","Graph 2","Omni",7.84051754914779e-06,0.00789892423990006
"104",250,0.6,"Community 1","Graph 2","Omnibar",6.2775553089814e-06,0.0119151152890485
"105",250,0.6,"Community 2","Graph 1","Abar",7.7502183033742e-06,0.0118720215580781
"106",250,0.6,"Community 2","Graph 1","ASE",8.95524057254935e-06,0.00814085431037779
"107",250,0.6,"Community 2","Graph 1","Omni",6.77609985492749e-06,0.00595259627062549
"108",250,0.6,"Community 2","Graph 1","Omnibar",7.07861281392025e-06,0.01115490005223
"109",250,0.6,"Community 2","Graph 2","Abar",6.75759630451306e-06,0.0120746162699504
"110",250,0.6,"Community 2","Graph 2","ASE",5.21301890509062e-05,0.0293210348586528
"111",250,0.6,"Community 2","Graph 2","Omni",8.11632274212346e-06,0.00793607534305396
"112",250,0.6,"Community 2","Graph 2","Omnibar",6.52500949994961e-06,0.0119761768260088
"113",250,0.7,"Community 1","Graph 1","Abar",9.30163153861195e-06,0.0154240771105999
"114",250,0.7,"Community 1","Graph 1","ASE",9.6214462056818e-06,0.00840419252857588
"115",250,0.7,"Community 1","Graph 1","Omni",7.42221645127574e-06,0.00628236900135911
"116",250,0.7,"Community 1","Graph 1","Omnibar",7.98348046422227e-06,0.0134153799841793
"117",250,0.7,"Community 1","Graph 2","Abar",7.87162025804767e-06,0.0148811657151628
"118",250,0.7,"Community 1","Graph 2","ASE",0.000146929833263329,0.0541813734829628
"119",250,0.7,"Community 1","Graph 2","Omni",9.02090088521096e-06,0.00867485375676985
"120",250,0.7,"Community 1","Graph 2","Omnibar",7.64048236624225e-06,0.0156220309132308
"121",250,0.7,"Community 2","Graph 1","Abar",8.15083109934053e-06,0.0132868752661024
"122",250,0.7,"Community 2","Graph 1","ASE",8.07678497584869e-06,0.0078345312082965
"123",250,0.7,"Community 2","Graph 1","Omni",6.62830303649535e-06,0.00605290001333387
"124",250,0.7,"Community 2","Graph 1","Omnibar",7.39048681994373e-06,0.0134433681953545
"125",250,0.7,"Community 2","Graph 2","Abar",7.26354457975106e-06,0.0169317371241102
"126",250,0.7,"Community 2","Graph 2","ASE",0.00013048614080564,0.0530583080513223
"127",250,0.7,"Community 2","Graph 2","Omni",8.31985847930512e-06,0.00857406486468431
"128",250,0.7,"Community 2","Graph 2","Omnibar",6.79521896610677e-06,0.0153179580113223
"129",250,0.8,"Community 1","Graph 1","Abar",1.01872328540236e-05,0.0177479455336802
"130",250,0.8,"Community 1","Graph 1","ASE",8.99981876220714e-06,0.0081620632802809
"131",250,0.8,"Community 1","Graph 1","Omni",7.35349879886887e-06,0.00638728358998876
"132",250,0.8,"Community 1","Graph 1","Omnibar",8.39296884611278e-06,0.0159244007619515
"133",250,0.8,"Community 1","Graph 2","Abar",8.9523976037618e-06,0.0206653730983921
"134",250,0.8,"Community 1","Graph 2","ASE",8.41153164948948e-05,0.0672491534171288
"135",250,0.8,"Community 1","Graph 2","Omni",9.68148369506636e-06,0.00969103105003761
"136",250,0.8,"Community 1","Graph 2","Omnibar",8.54213780152237e-06,0.020645144491671
"137",250,0.8,"Community 2","Graph 1","Abar",9.92146231486133e-06,0.0170504758289649
"138",250,0.8,"Community 2","Graph 1","ASE",8.58666782108862e-06,0.00802199437138402
"139",250,0.8,"Community 2","Graph 1","Omni",7.20001182151525e-06,0.00633859445519393
