"","node_id","graph","method","c","average_mse","average_estimate","average_bias","empirical_var","theo_bias","theo_var","theo_mse"
"6150","36","Graph 2","ASE",1.4142135623731,0.00276163702140289,0.836515757456446,-0.00438065779726851,0.00274519205071684,0,0.00292893218813452,0.00292893218813452
"6151","36","Graph 2","Omni",0.0565685424949238,0.0245500449181425,0.320706787834387,0.152527504783644,0.00128669189451251,0.153125205194574,0.000425180453290347,0.0238725089191706
"6152","36","Graph 2","Omni",0.113137084989848,0.0126321597745404,0.343716427829794,0.10587500482925,0.00142406719414092,0.107824460953926,0.000829258669386262,0.012455373049391
"6153","36","Graph 2","Omni",0.169705627484771,0.00750586014987905,0.367428592544558,0.0761335295201638,0.00171125708977118,0.0789722927270912,0.0012082848829733,0.00744490790154668
"6154","36","Graph 2","Omni",0.226274169979695,0.00510196992190216,0.393285678387522,0.0569271122860361,0.00186313694562082,0.0586340710982157,0.00155884826937813,0.00499680256292875
"6155","36","Graph 2","Omni",0.282842712474619,0.0041148456867509,0.418226588897853,0.042166279589214,0.00233918974209723,0.0436715334455402,0.00187820753336532,0.00378541036685026
"6156","36","Graph 2","Omni",0.339411254969543,0.00329774027430774,0.4426570405931,0.030703611811676,0.00235738588190755,0.0324312742401352,0.0021643649327653,0.00321615248160415
"6157","36","Graph 2","Omni",0.395979797464467,0.00330263055479904,0.467716285637876,0.0227557270124704,0.00278759503797094,0.023902266243603,0.00241608287480087,0.00298740120638095
"6158","36","Graph 2","Omni",0.45254833995939,0.00322398426453027,0.492480713556187,0.016797867555098,0.00294476067080246,0.0174081001330233,0.00263284977576661,0.00293589172600797
"6159","36","Graph 2","Omni",0.509116882454314,0.00297292368266368,0.514753936192112,0.0102160870398828,0.00287142667493215,0.0124694242772745,0.00281480692252515,0.00297029346433184
"6160","36","Graph 2","Omni",0.565685424949238,0.00308291127935019,0.538868906482592,0.00703931678809294,0.00303639569420126,0.00873348034172939,0.00296265018952244,0.00303892386840181
"6161","36","Graph 2","Omni",0.622253967444162,0.00313608310791222,0.559324720025451,0.00153714063515885,0.00313685716374371,0.00593411684564584,0.00307752001217308,0.00311273375491086
"6162","36","Graph 2","Omni",0.678822509939086,0.00323911054349053,0.580200788080388,-0.00238933796840017,0.0032366382458091,0.00386717751031142,0.00316089081766473,0.00317584587956099
"6163","36","Graph 2","Omni",0.735391052434009,0.00353591680175764,0.605866713695843,-0.000512314814382319,0.00353919352881743,0.00237433055572094,0.00321446808532612,0.00322010553091395
"6164","36","Graph 2","Omni",0.791959594928933,0.00301686851538186,0.627938654099769,-0.00133060262938909,0.00301811612815268,0.00133188132967486,0.00324009811059271,0.00324187201846905
"6165","36","Graph 2","Omni",0.848528137423857,0.00308370293935453,0.645911947582434,-0.00544361485019645,0.00305712712384109,0.000642720872436906,0.0032396928701392,0.00324010596025907
"6166","36","Graph 2","Omni",0.905096679918781,0.00314614168670134,0.670459405515288,-0.00225772668768366,0.00314418854545051,0.000230360091044082,0.00321517035686783,0.00321522342263938
"6167","36","Graph 2","Omni",0.961665222413705,0.00315061746652157,0.688046681862355,-0.00537426619650838,0.0031248595889596,3.44163925577121e-05,0.00316840939934384,0.00316841058383192
"6168","36","Graph 2","Omni",1.01823376490863,0.00282826525818153,0.709434435876986,-0.0040898331246464,0.00281435287607014,7.14940926801152e-06,0.00310121721077387,0.00310121726188792
"6169","36","Graph 2","Omni",1.07480230740355,0.00306658259057521,0.730643412097328,-0.00243308711798366,0.00306372640405556,0.000110775557273381,0.00301530758880017,0.00301531986002426
"6170","36","Graph 2","Omni",1.13137084989848,0.00281694371253268,0.747692157640578,-0.00442846097670106,0.002800132578489,0.000315372333500545,0.0029122876673683,0.00291238712707703
"6171","36","Graph 2","Omni",1.1879393923934,0.00278349019945759,0.769664357901538,-0.0010299370018956,0.00278521464387359,0.000597235344356614,0.0027936512851041,0.00279400797516065
"6172","36","Graph 2","Omni",1.24450793488832,0.00252716154538437,0.785848503173763,-0.00298225652324731,0.00252078847989381,0.000937586140044593,0.00266077729012592,0.00266165635789593
"6173","36","Graph 2","Omni",1.30107647738325,0.00253805722766149,0.803504079531371,-0.00305542769151436,0.00253125284212553,0.0013215535740149,0.0025149313870527,0.00251667789090169
"6174","36","Graph 2","Omni",1.35764501987817,0.00219432528491182,0.819363903997082,-0.00454295356576517,0.00217586272053165,0.00173736932326219,0.0023572704099874,0.00236028886215281
"6175","36","Graph 2","Omni",1.4142135623731,0.00210644350817089,0.83836621518469,-0.00253020006902461,0.00210214373952112,0.00217573156952966,0.0021888481548639,0.00219358196272654
"6176","36","Graph 2","Omnibar",0.0565685424949238,0.12614137086354,0.519278971230163,0.351099688179421,0.00287325307693018,0.351298888803476,0.00262953272771436,0.126040442002272
"6177","36","Graph 2","Omnibar",0.113137084989848,0.0861783448066269,0.527138345972553,0.289296922972009,0.00248812328884325,0.293672542105383,0.00267977251830393,0.0889233345049417
"6178","36","Graph 2","Omnibar",0.169705627484771,0.0648910248284253,0.540606837919552,0.249311774895158,0.00273740112817935,0.252285582224773,0.00272532911821345,0.066373344116706
"6179","36","Graph 2","Omnibar",0.226274169979695,0.0492432481327195,0.552761064165174,0.216402498063688,0.00241562258710208,0.2192720632886,0.0027650774078741,0.0508453151467138
"6180","36","Graph 2","Omnibar",0.282842712474619,0.0389222215871078,0.565900018944483,0.189839709635844,0.002885992224711,0.191562275079187,0.00279803234398743,0.0394941375775017
"6181","36","Graph 2","Omnibar",0.339411254969543,0.0300313898182904,0.576838537227357,0.164885108445933,0.00284713796903234,0.167568652640931,0.00282338498950545,0.0309026383374023
"6182","36","Graph 2","Omnibar",0.395979797464467,0.0232653920886151,0.588088629009169,0.143128070383764,0.0027825300869224,0.146341162064983,0.0028405227404056,0.0242562584549353
"6183","36","Graph 2","Omnibar",0.45254833995939,0.0189185934918797,0.602072766245885,0.126389920244797,0.00294712868107465,0.127257970073231,0.002849034037311,0.0190436249844703
"6184","36","Graph 2","Omnibar",0.509116882454314,0.0143075100925116,0.611898293806895,0.107360444654666,0.00278402904510901,0.109886912368328,0.00284869974915618,0.0149238332590007
"6185","36","Graph 2","Omnibar",0.565685424949238,0.0111392488966511,0.623180142271884,0.0913505525773852,0.00279712256302047,0.0939146169862371,0.00283947455413705,0.0116594298378087
